"","index","paper","HTC","precipitation","pyrolisis","gas","HTC_temp","electricity","sodium_hydroxide","magnesium_sulphate","dipotassium_phosphate","ammonium_chloride","hypochloric_acid","magnesium_oxide","magnesium_chloride","phosphoric_acid","oxalate","sulfuric_acid","recovery_ratio"
"1",1,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46583592150963e-05,167.316493150685,143.6985,63.6018082191781,0,0,0,0,0,0,76.643
"2",2,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,167.316493150685,143.6985,10.1118082191781,0,0,0,0,0,0,94.499
"3",3,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46683492150963e-05,107.148493150685,143.6985,117.091808219178,0,0,0,0,0,0,90.551
"4",4,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,163.905931034483,78.381,52.3833103448276,0,0,0,0,0,0,94.039
"5",5,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,46.9804931506849,143.6985,10.1118082191781,0,0,0,0,0,0,74.857
"6",6,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,107.148493150685,143.6985,63.6018082191781,0,0,0,0,0,0,93.829
"7",7,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46683492150963e-05,46.9804931506849,143.6985,63.6018082191781,0,0,0,0,0,0,76.398
"8",8,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,49.2283636363636,209.016,70.9958181818182,0,0,0,0,0,0,72.424
"9",9,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46583592150963e-05,107.148493150685,143.6985,117.091808219178,0,0,0,0,0,0,78.414
"10",10,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46583592150963e-05,107.148493150685,143.6985,10.1118082191781,0,0,0,0,0,0,72.42
"11",11,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46583592150963e-05,103.737931034483,78.381,52.3833103448276,0,0,0,0,0,0,69.253
"12",12,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46683492150963e-05,107.148493150685,143.6985,10.1118082191781,0,0,0,0,0,0,94.225
"13",13,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,107.148493150685,143.6985,63.6018082191781,0,0,0,0,0,0,95.982
"14",14,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46683492150963e-05,167.316493150685,143.6985,63.6018082191781,0,0,0,0,0,0,95.646
"15",15,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,107.148493150685,143.6985,63.6018082191781,0,0,0,0,0,0,96.495
"16",16,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,169.564363636364,209.016,70.9958181818182,0,0,0,0,0,0,98.566
"17",17,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46683492150963e-05,109.396363636364,209.016,70.9958181818182,0,0,0,0,0,0,97.356
"18",18,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,109.396363636364,209.016,124.485818181818,0,0,0,0,0,0,97.578
"19",19,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,109.396363636364,209.016,17.5058181818182,0,0,0,0,0,0,97.736
"20",20,"Numviyimana et al. (2020)",0,1,0,0,0,0.320625,4.46680429873303e-05,103.737931034483,78.381,105.873310344828,0,0,0,0,0,0,93.003
